,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
9068,Royal Rajputana Co,3 ,90,"4,945 / sq ft",1820 ,Ready to move
9069,Royal Rajputana Co,3 ,62,"3,875 / sq ft",1600 ,Ready to move
9070,Royal Rajputana Co,2 ,65,"5,241 / sq ft",1240 ,Ready to move
9071,Mallikarjun Goud,2 ,27.54,"2,700 / sq ft",1020 ,Under Construction
9072,Mallikarjun Goud,2 ,31.05,"2,700 / sq ft",1150 ,Under Construction
9073,Mallikarjun Goud,2 ,42.55,"3,700 / sq ft",1150 ,Under Construction
9074,Mallikarjun Goud,2 ,37.74,"3,700 / sq ft",1020 ,Under Construction
9075,Mallikarjun Goud,2 ,31.05,"2,700 / sq ft",1150 ,Under Construction
9076,Kazim Co Real Estate,2 ,49,"4,454 / sq ft",1100 ,Ready to move
9077,Kazim Co Real Estate,3 ,2,"8,254 / sq ft",2423 ,Under Construction
9078,Bestpropin,3 ,63,"4,300 / sq ft",1465 ,Ready to move
9079,Bestpropin,3 ,1,"5,200 / sq ft",1925 ,Ready to move
9080,Bestpropin,3 ,1.2,"6,200 / sq ft",1940 ,Ready to move
9081,Om Sri Sai Ram Rentals,2 ,38,"3,619 / sq ft",1050 ,Ready to move
9082,Turnkeezcom,3 ,2.05,"7,132 / sq ft",2874 ,Under Construction
9083,Shaikh Hameed,3 ,60,"4,285 / sq ft",1400 ,Ready to move
9084,yadamma nagar,3 ,48,"3,692 / sq ft",1300 ,Ready to move
9085,Shaikh Hameed,4 ,1.2,"5,714 / sq ft",2100 ,Ready to move
9086,Shaikh Hameed,2 ,85,"6,071 / sq ft",1400 ,Ready to move
9087,Moghal Constructions,5 ,1.7,"4,873 / sq ft",3488 ,Under Construction
9088,yadamma nagar,3 ,65,"4,333 / sq ft",1500 ,Ready to move
9089,Shaikh Hameed,3 ,62,"3,961 / sq ft",1565 ,Ready to move
9090,Shaikh Hameed,3 ,1.1,"6,211 / sq ft",1771 ,Ready to move
9091,Shaikh Hameed,3 ,75,"3,750 / sq ft",2000 ,Ready to move
9092,Shaikh Hameed,2 ,75,"5,769 / sq ft",1300 ,Ready to move
9093,Kazim Co Real Estate,3 ,1.05,"10,019 / sq ft",1048 ,Under Construction
9094,Shaikh Hameed,2 ,1.2,"5,000 / sq ft",2400 ,Ready to move
9095,NGAGE GLOBAL,3 ,2.15,"9,207 / sq ft",2335 ,Ready to move
9096,Ayyappa Properties,2 ,66.2,"5,296 / sq ft",1250 ,Ready to move
9097,Moghal Constructions,6 ,1.6,"4,587 / sq ft",3488 ,Under Construction
9098,Venu Gopal,5 ,1.65,"4,059 / sq ft",4065 ,Ready to move
9099,yadamma nagar,4 ,98,"4,260 / sq ft",2300 ,Ready to move
9100,S Murali Krishna,3 ,81,"5,192 / sq ft",1560 ,Under Construction
9101,S Murali Krishna,3 ,81,"5,192 / sq ft",1560 ,Under Construction
9102,S Murali Krishna,3 ,81,"5,192 / sq ft",1560 ,Under Construction
9103,S Murali Krishna,3 ,81,"5,192 / sq ft",1560 ,Under Construction
9104,S Murali Krishna,2 ,59,"5,086 / sq ft",1160 ,Under Construction
9105,S Murali Krishna,2 ,59,"5,086 / sq ft",1160 ,Under Construction
9106,S Murali Krishna,2 ,59,"5,086 / sq ft",1160 ,Under Construction
9107,Nityashree Real Estate,2 ,78,"6,516 / sq ft",1197 ,Ready to move
9108,Ayyappa Real Estates and Rentals,2 ,75,"7,500 / sq ft",1000 ,Ready to move
9109,Ayyappa Real Estates and Rentals,2 ,1.4,"10,000 / sq ft",1400 ,Ready to move
