,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
0,CMG Builders,4 ,3.12,"6,800 / sq ft",4600 ,Under Construction
1,Giridhari Homes,3 ,84.04,"4,600 / sq ft",1827 ,Under Construction
2,SS Green Projects,3 ,1.65,"6,899 / sq ft",2405 ,Ready to move
3,Accurate Developers,3 ,1.03,"6,290 / sq ft",1645 ,Under Construction
4,Nikhila Constructions And Developers,3 ,59.99,"4,002 / sq ft",1500 ,Under Construction
5,Jd Real Estate,Residential Plot,58.46,"3,400 / sq ft",1720 ,New
6,Om Sree Builders Developers,4 ,1.93,"5,100 / sq ft",3795 ,Under Construction
7,Vishal Projects Limited,4 ,2.6,"6,133 / sq ft",4252 ,Under Construction
8,Maruthi Developers,2 ,62.98,"4,700 / sq ft",1340 ,Ready to move
9,Risinia Builders,2 ,56.98,"4,400 / sq ft",1295 ,Under Construction
10,Prime Infratech,3 ,63.46,"3,800 / sq ft",1670 ,Under Construction
11,Bricks Infratech,3 ,1.1,"5,600 / sq ft",1981 ,Under Construction
12,Maram Infra Projects PvtLtd,3 ,52.98,"3,800 / sq ft",1394 ,Under Construction
13,Pandurangareddy,3 ,83.2,"5,200 / sq ft",1600 ,Under Construction
14,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
15,somesh compnay,3 ,1.58,"7,371 / sq ft",2155 ,Under Construction
16,Sai Infra,3 ,1.5,"3,750 / sq ft",4000 ,Under Construction
17,Maxxco,5 ,8.5,"12,734 / sq ft",6675 ,Under Construction
18,Asif,4 ,4,"11,428 / sq ft",3500 ,Ready to move
19,Mahesh,Residential Plot,4,"1,111 / sq ft",36000 ,New
20,Amaze Constructions,Residential Plot,31.99,"1,111 / sq ft",2880 ,New
21,Living Landmarks Infratech,Residential Plot,35.01,389 / sq ft,9000 ,New
22,Mahesh Plots,Residential Plot,1,"1,111 / sq ft",9000 ,New
23,Raja Reddy Noti,Residential Plot,24.93,"1,667 / sq ft",1496 ,New
24,Individual Agent,Residential Plot,25,"1,389 / sq ft",1800 ,New
25,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
26,Naveena,3 ,98.56,"6,160 / sq ft",1600 ,Under Construction
27,USM MyCity,Residential Plot,16.09,511 / sq ft,3150 ,New
28,Royal Orchids,Residential Plot,18,500 / sq ft,3600 ,New
29,Suresh M,Residential Plot,15.98,888 / sq ft,1800 ,New
30,SREE PROPERTY,3 ,1.85,"6,851 / sq ft",2700 ,Ready to move
31,Sri Avani Infra projects,2 ,70.95,"5,500 / sq ft",1290 ,Under Construction
32,Shubadha Consultancy India Pvt Ltd,2 ,50.31,"3,900 / sq ft",1290 ,Under Construction
33,Ramesh,2 ,45.67,"3,870 / sq ft",1180 ,Ready to move
34,Kosurri Murralii,Residential Plot,45.48,"1,444 / sq ft",3150 ,New
35,Individual Agent,Residential Plot,16.5,916 / sq ft,1800 ,New
36,Earu,Residential Plot,65,"4,513 / sq ft",1440 ,New
37,Nagaraju Realtors,Residential Plot,48.59,"1,000 / sq ft",4860 ,New
38,Green Metro,Residential Plot,6.75,500 / sq ft,1350 ,New
39,Laxmi,Residential Plot,22.19,"2,055 / sq ft",1080 ,Resale
40,New Vision Consultancy,2 ,30,"2,678 / sq ft",1120 ,Ready to move
41,Thejas,3 ,88.5,"5,900 / sq ft",1500 ,Ready to move
42,Space Vision,Residential Plot,9.55,722 / sq ft,1323 ,New
43,Md Inayatur rahman,Residential Plot,10.23,688 / sq ft,1485 ,New
44,Venkata Ganesh kumar Reddy,Residential Plot,26.99,"1,111 / sq ft",2430 ,New
45,Propfinder India Pvt Ltd,3 ,1.58,"7,371 / sq ft",2155 ,Under Construction
46,Sahasra Construction,4 ,2.15,"5,657 / sq ft",3800 ,Ready to move
47,B Suresh Chandra,Residential Plot,7.5,555 / sq ft,1350 ,New
48,Balaji Realtors,2 ,63,"5,478 / sq ft",1150 ,Ready to move
49,Fudosan Developers and Agency,3 ,2.07,"5,800 / sq ft",3569 ,Under Construction
50,Sai Teja Constructions,3 ,93,"5,500 / sq ft",1691 ,Under Construction
51,Mohammed Jameel ur Rahman,3 ,42,"3,500 / sq ft",1200 ,Ready to move
52,Shathabdhi townships,Residential Plot,21.99,611 / sq ft,3600 ,New
53,APS Property Solutions Pvt Ltd,3 ,2.04,"7,885 / sq ft",2595 ,Ready to move
54,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
55,3M Estate,1 ,77,"8,369 / sq ft",920 ,Under Construction
56,Ramana Prasad,Residential Plot,57.58,"1,333 / sq ft",4320 ,New
57,Lakshmi Narayana,2 ,61,"4,959 / sq ft",1230 ,Ready to move
58,R K Constructions,2 ,45.67,"3,500 / sq ft",1305 ,Ready to move
59,Srinivas,Residential Plot,15.29,"1,111 / sq ft",1377 ,New
60,Property Bazar,3 ,25,"2,579 / sq ft",969 ,Ready to move
61,Proptiger,3 ,1.13,"6,180 / sq ft",1842 ,Under Construction
62,Radhika Sagar,2 ,33,"2,750 / sq ft",1200 ,Under Construction
63,Mecquery Constructions,2 ,51,"4,180 / sq ft",1220 ,Under Construction
64,Vanam Venkatesh,Residential Plot,13.72,833 / sq ft,1647 ,New
65,RRR groups,2 ,25,"1,785 / sq ft",1400 ,Under Construction
66,Sri Suryavarshini Infra Pvt Ltd,2 ,47,"4,700 / sq ft",1000 ,Ready to move
67,ASPIRE DEVELOPERS,Residential Plot,22,"1,482 / sq ft",1485 ,New
68,Arun A,2 ,86.96,"6,504 / sq ft",1338 ,Under Construction
69,Swathi,Residential Plot,12.99,722 / sq ft,1800 ,New
70,Sri Karthikeya Constructions,2 ,38,"3,368 / sq ft",1128 ,Ready to move
71,Aniketh Yadav,2 ,78,"4,394 / sq ft",1775 ,Ready to move
72,Siddu Realtors,Residential Plot,24.5,778 / sq ft,3150 ,New
73,SURYA INFRA TECHH DEVELOPERS ?,Residential Plot,11.82,722 / sq ft,1638 ,New
74,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
75,Uma Maheshwar Rao,2 ,56.79,"4,960 / sq ft",1145 ,Ready to move
76,Sridharan Cheri,2 ,45,"5,000 / sq ft",900 ,Under Construction
77,Vikram Reddy,3 ,85.89,"5,250 / sq ft",1636 ,Ready to move
78,Akshita Infra Projects LlP,Residential Plot,23.99,"1,333 / sq ft",1800 ,New
79,Sneha Dev,Residential Plot,11.4,"1,055 / sq ft",1080 ,New
80,TMR Infra,Residential Plot,16.2,640 / sq ft,2530 ,New
81,Murali Krishna,Residential Plot,21.72,"1,333 / sq ft",1629 ,New
82,Ravi,Residential Plot,35,"1,944 / sq ft",1800 ,New
83,PR Associates,2 ,43,"3,739 / sq ft",1150 ,Under Construction
84,Jai Sri Devi Homes,3 ,67.39,"4,800 / sq ft",1404 ,Under Construction
85,Dasari Nirmala,Residential Plot,6,368 / sq ft,1629 ,New
86,Crown Constructions And Aryamitra Properties,3 ,1.24,"5,800 / sq ft",2150 ,Ready to move
87,MK Estate Consultant,2 ,60.84,"5,003 / sq ft",1217 ,Under Construction
88,Fortune Green Homes,3 ,88.35,"5,000 / sq ft",1767 ,Under Construction
89,Vishnu Krupa Developers,3 ,73.75,"4,500 / sq ft",1639 ,Under Construction
90,Vasavi Constructions,2 ,43.04,"4,000 / sq ft",1076 ,Ready to move
91,Sri Gayathri Homes,3 ,90.15,"5,000 / sq ft",1803 ,Under Construction
92,Vani,3 ,90,"4,864 / sq ft",1850 ,Under Construction
93,Bhrigu infra,Residential Plot,19.34,"1,557 / sq ft",1242 ,New
94,Prasanna Kumar,Residential Plot,19,"1,055 / sq ft",1800 ,New
95,Prime Nest,2 ,76,"6,333 / sq ft",1200 ,Under Construction
96,Mega Property Solutions Pvt Ltd,3 ,79.2,"5,126 / sq ft",1545 ,Under Construction
97,Upender vanam,3 ,1.66,"6,384 / sq ft",2600 ,Under Construction
98,Ram mohan,3 ,86,"4,699 / sq ft",1830 ,Ready to move
99,3M Estate,3 ,85,"5,666 / sq ft",1500 ,Under Construction
100,Giridhari Homes,3 ,83.58,"4,600 / sq ft",1817 ,Under Construction
101,Giridhari Homes,3 ,79.21,"4,600 / sq ft",1722 ,Under Construction
102,Giridhari Homes,3 ,79.48,"4,600 / sq ft",1728 ,Under Construction
103,Giridhari Homes,3 ,70.38,"4,600 / sq ft",1530 ,Under Construction
104,SS Green Projects,3 ,1.93,"6,899 / sq ft",2800 ,Ready to move
105,Giridhari Homes,3 ,70.75,"4,800 / sq ft",1474 ,Under Construction
106,Giridhari Homes,3 ,89.13,"4,800 / sq ft",1857 ,Under Construction
107,Accurate Developers,3 ,1.08,"6,290 / sq ft",1725 ,Under Construction
108,Accurate Developers,3 ,1.06,"6,290 / sq ft",1700 ,Under Construction
109,CMG Builders,5 ,2.98,"6,800 / sq ft",4397 ,Under Construction
110,CMG Builders,4 ,2.99,"6,800 / sq ft",4411 ,Under Construction
111,CMG Builders,5 ,2.53,"6,800 / sq ft",3728 ,Under Construction
112,CMG Builders,4 ,2.81,"6,800 / sq ft",4133 ,Under Construction
113,CMG Builders,4 ,2.51,"6,800 / sq ft",3700 ,Under Construction
114,CMG Builders,4 ,3.04,"6,800 / sq ft",4485 ,Under Construction
115,CMG Builders,5 ,2.72,"6,800 / sq ft",4013 ,Under Construction
116,CMG Builders,5 ,2.45,"6,800 / sq ft",3615 ,Under Construction
117,CMG Builders,4 ,2.46,"6,800 / sq ft",3627 ,Under Construction
118,CMG Builders,4 ,3.03,"6,800 / sq ft",4461 ,Under Construction
119,CMG Builders,4 ,2.83,"6,800 / sq ft",4163 ,Under Construction
120,CMG Builders,5 ,2.33,"6,800 / sq ft",3429 ,Under Construction
121,CMG Builders,5 ,2.58,"6,800 / sq ft",3802 ,Under Construction
122,CMG Builders,4 ,2.93,"6,800 / sq ft",4313 ,Under Construction
123,Nikhila Constructions And Developers,3 ,52.36,"4,000 / sq ft",1309 ,Under Construction
124,Jd Real Estate,Residential Plot,1.59,"3,399 / sq ft",4686 ,New
125,Jd Real Estate,Residential Plot,1.83,"3,399 / sq ft",5386 ,New
126,Jd Real Estate,Residential Plot,94.83,"3,399 / sq ft",2790 ,New
127,Jd Real Estate,Residential Plot,64.07,"3,399 / sq ft",1885 ,New
128,Jd Real Estate,Residential Plot,89.86,"3,400 / sq ft",2644 ,New
129,Jd Real Estate,Residential Plot,89.73,"3,400 / sq ft",2640 ,New
130,Jd Real Estate,Residential Plot,53.01,"3,400 / sq ft",1560 ,New
131,Jd Real Estate,Residential Plot,1.16,"3,399 / sq ft",3420 ,New
132,Jd Real Estate,Residential Plot,1.13,"3,399 / sq ft",3339 ,New
133,Jd Real Estate,Residential Plot,92.45,"3,400 / sq ft",2720 ,New
134,Jd Real Estate,Residential Plot,67.3,"3,399 / sq ft",1980 ,New
135,Jd Real Estate,Residential Plot,48.94,"3,399 / sq ft",1440 ,New
136,Jd Real Estate,Residential Plot,44.86,"3,401 / sq ft",1320 ,New
137,Jd Real Estate,Residential Plot,54.38,"3,401 / sq ft",1600 ,New
138,Jd Real Estate,Residential Plot,62.54,"3,400 / sq ft",1840 ,New
139,Jd Real Estate,Residential Plot,1.46,"3,399 / sq ft",4301 ,New
140,Jd Real Estate,Residential Plot,73.41,"3,400 / sq ft",2160 ,New
141,Om Sree Builders Developers,3 ,1.36,"5,100 / sq ft",2675 ,Under Construction
142,Om Sree Builders Developers,3 ,1.4,"5,100 / sq ft",2755 ,Under Construction
143,Om Sree Builders Developers,3 ,1.57,"5,100 / sq ft",3090 ,Under Construction
144,Om Sree Builders Developers,4 ,1.95,"5,100 / sq ft",3835 ,Under Construction
145,Om Sree Builders Developers,4 ,1.92,"5,100 / sq ft",3765 ,Under Construction
146,Om Sree Builders Developers,3 ,1.24,"5,100 / sq ft",2435 ,Under Construction
147,Om Sree Builders Developers,3 ,1.24,"5,100 / sq ft",2450 ,Under Construction
148,Om Sree Builders Developers,3 ,1.55,"5,100 / sq ft",3050 ,Under Construction
149,Om Sree Builders Developers,4 ,1.94,"5,100 / sq ft",3810 ,Under Construction
150,Jd Real Estate,Residential Plot,45.88,"3,401 / sq ft",1350 ,New
151,Jd Real Estate,Residential Plot,1.52,"3,399 / sq ft",4500 ,New
152,Vishal Projects Limited,4 ,2.01,"5,686 / sq ft",3552 ,Under Construction
153,Vishal Projects Limited,4 ,1.85,"5,790 / sq ft",3212 ,Under Construction
154,Maruthi Developers,2 ,57.34,"4,700 / sq ft",1220 ,Ready to move
155,Maruthi Developers,3 ,77.55,"4,700 / sq ft",1650 ,Ready to move
156,Maruthi Developers,3 ,78.96,"4,700 / sq ft",1680 ,Ready to move
157,Maruthi Developers,3 ,73.08,"4,700 / sq ft",1555 ,Ready to move
158,Maruthi Developers,3 ,79.19,"4,700 / sq ft",1685 ,Ready to move
159,Maruthi Developers,3 ,71.44,"4,700 / sq ft",1520 ,Ready to move
160,Maruthi Developers,2 ,57.57,"4,700 / sq ft",1225 ,Ready to move
161,Maruthi Developers,3 ,84.36,"4,700 / sq ft",1795 ,Ready to move
162,Maruthi Developers,2 ,67.44,"4,700 / sq ft",1435 ,Ready to move
163,Maruthi Developers,2 ,67.21,"4,700 / sq ft",1430 ,Ready to move
164,Maruthi Developers,2 ,59.45,"4,700 / sq ft",1265 ,Ready to move
165,Risinia Builders,2 ,52.58,"4,400 / sq ft",1195 ,Under Construction
166,Risinia Builders,3 ,74.58,"4,400 / sq ft",1695 ,Under Construction
167,Risinia Builders,3 ,70.18,"4,400 / sq ft",1595 ,Under Construction
168,Prime Infratech,2 ,45.98,"3,800 / sq ft",1210 ,Under Construction
169,Prime Infratech,2 ,46.36,"3,800 / sq ft",1220 ,Under Construction
170,Prime Infratech,2 ,45.22,"3,800 / sq ft",1190 ,Under Construction
171,Prime Infratech,2 ,44.84,"3,800 / sq ft",1180 ,Under Construction
172,Prime Infratech,3 ,61.75,"3,800 / sq ft",1625 ,Under Construction
173,Bricks Infratech,3 ,1.2,"5,600 / sq ft",2151 ,Under Construction
174,Bricks Infratech,3 ,1.21,"5,601 / sq ft",2176 ,Under Construction
175,Bricks Infratech,3 ,98.01,"5,601 / sq ft",1751 ,Under Construction
176,Bricks Infratech,3 ,1.07,"5,600 / sq ft",1926 ,Under Construction
177,Bricks Infratech,3 ,96.62,"5,601 / sq ft",1726 ,Under Construction
178,Maram Infra Projects PvtLtd,2 ,45.55,"3,802 / sq ft",1199 ,Under Construction
179,Maram Infra Projects PvtLtd,3 ,56.99,"3,802 / sq ft",1500 ,Under Construction
180,Maram Infra Projects PvtLtd,2 ,45.45,"3,800 / sq ft",1196 ,Under Construction
181,Maram Infra Projects PvtLtd,3 ,57.01,"3,800 / sq ft",1500 ,Under Construction
182,Maram Infra Projects PvtLtd,3 ,50.83,"3,802 / sq ft",1338 ,Under Construction
183,Maram Infra Projects PvtLtd,2 ,41.82,"3,802 / sq ft",1101 ,Under Construction
184,Maram Infra Projects PvtLtd,3 ,75,"3,801 / sq ft",1974 ,Under Construction
185,Maram Infra Projects PvtLtd,2 ,40.61,"3,802 / sq ft",1069 ,Under Construction
186,Maram Infra Projects PvtLtd,2 ,41.79,"3,803 / sq ft",1100 ,Under Construction
187,Pandurangareddy,3 ,90.22,"5,200 / sq ft",1735 ,Under Construction
188,Pandurangareddy,3 ,83.98,"5,200 / sq ft",1615 ,Under Construction
189,Pandurangareddy,3 ,84.5,"5,200 / sq ft",1625 ,Under Construction
190,Pandurangareddy,3 ,86.32,"5,200 / sq ft",1660 ,Under Construction
191,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
192,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
193,Mahesh Plots,Residential Plot,25,"5,555 / sq ft",45000 ,New
194,Mahesh Plots,Residential Plot,20,"5,555 / sq ft",36000 ,New
195,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
196,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
197,somesh compnay,3 ,1.5,"7,371 / sq ft",2035 ,Under Construction
198,somesh compnay,3 ,1.85,"7,597 / sq ft",2435 ,Under Construction
199,somesh compnay,3 ,1.76,"7,371 / sq ft",2390 ,Under Construction
200,somesh compnay,3 ,1.57,"7,371 / sq ft",2130 ,Under Construction
201,somesh compnay,3 ,1.57,"7,371 / sq ft",2140 ,Under Construction
202,somesh compnay,3 ,1.54,"7,371 / sq ft",2090 ,Under Construction
203,somesh compnay,3 ,1.64,"7,371 / sq ft",2235 ,Under Construction
204,somesh compnay,3 ,1.64,"7,371 / sq ft",2230 ,Under Construction
205,somesh compnay,3 ,1.74,"7,371 / sq ft",2370 ,Under Construction
206,somesh compnay,3 ,1.6,"7,371 / sq ft",2180 ,Under Construction
207,somesh compnay,3 ,1.71,"7,371 / sq ft",2320 ,Under Construction
208,somesh compnay,3 ,1.62,"7,371 / sq ft",2200 ,Under Construction
209,somesh compnay,3 ,1.52,"7,371 / sq ft",2070 ,Under Construction
210,Maxxco,4 ,2.6,"8,578 / sq ft",3031 ,Ready to move
211,Maxxco,2 ,1.2,"8,000 / sq ft",1500 ,Ready to move
212,Maxxco,2 ,90,"7,014 / sq ft",1283 ,Under Construction
213,Maxxco,2 ,1.91,"7,991 / sq ft",2390 ,Ready to move
214,Maxxco,3 ,1.3,"7,428 / sq ft",1750 ,Ready to move
215,Maxxco,2 ,1,"8,264 / sq ft",1210 ,Under Construction
216,Maxxco,4 ,2.62,"8,325 / sq ft",3147 ,Ready to move
217,Maxxco,4 ,3.31,"10,920 / sq ft",3031 ,Ready to move
218,Maxxco,3 ,2.2,"10,726 / sq ft",2051 ,Ready to move
219,Maxxco,2 ,1.3,"9,796 / sq ft",1327 ,Ready to move
220,Maxxco,2 ,1.2,"9,042 / sq ft",1327 ,Ready to move
221,Maxxco,3 ,1.3,"7,428 / sq ft",1750 ,Ready to move
222,Maxxco,4 ,2.4,"7,361 / sq ft",3260 ,Ready to move
223,Maxxco,2 ,95,"7,929 / sq ft",1198 ,Ready to move
224,Maxxco,3 ,3.98,"12,476 / sq ft",3190 ,Ready to move
225,Maxxco,2 ,1.2,"8,571 / sq ft",1400 ,Under Construction
226,Maxxco,3 ,1.15,"6,824 / sq ft",1685 ,Ready to move
227,Maxxco,3 ,1,"6,666 / sq ft",1500 ,Under Construction
228,Maxxco,3 ,1,"6,666 / sq ft",1500 ,Under Construction
229,Maxxco,8 ,6,"6,000 / sq ft",10000 ,Ready to move
230,Asif,4 ,7,"15,555 / sq ft",4500 ,Ready to move
231,Maxxco,8 ,6,"6,000 / sq ft",10000 ,Ready to move
232,Mahesh,Residential Plot,2,"1,111 / sq ft",18000 ,New
233,Mahesh,Residential Plot,1,"1,111 / sq ft",9000 ,New
234,Mahesh,Residential Plot,1,"1,111 / sq ft",9000 ,New
235,Mahesh,Residential Plot,1.5,"1,111 / sq ft",13500 ,New
236,Mahesh,Residential Plot,2,"1,111 / sq ft",18000 ,New
237,Mahesh,Residential Plot,1.5,"1,111 / sq ft",13500 ,New
238,Mahesh,Residential Plot,2,"1,111 / sq ft",18000 ,New
239,Mahesh,Residential Plot,5,"1,111 / sq ft",45000 ,New
240,Mahesh,Residential Plot,1.5,"1,111 / sq ft",13500 ,New
241,Mahesh,Residential Plot,1,"1,111 / sq ft",9000 ,New
242,Mahesh,Residential Plot,2,"1,111 / sq ft",18000 ,New
243,Mahesh,Residential Plot,1,"1,111 / sq ft",9000 ,New
244,Asif,Residential Plot,4,"14,814 / sq ft",2700 ,Resale
245,Amaze Constructions,Residential Plot,30.19,"1,111 / sq ft",2718 ,New
246,Amaze Constructions,Residential Plot,27.29,"1,111 / sq ft",2457 ,New
247,Amaze Constructions,Residential Plot,25.69,"1,111 / sq ft",2313 ,New
248,Amaze Constructions,Residential Plot,31.59,"1,111 / sq ft",2844 ,New
249,Amaze Constructions,Residential Plot,33.19,"1,111 / sq ft",2988 ,New
250,Amaze Constructions,Residential Plot,23.99,"1,111 / sq ft",2160 ,New
251,Amaze Constructions,Residential Plot,34.19,"1,111 / sq ft",3078 ,New
252,Amaze Constructions,Residential Plot,25.59,"1,111 / sq ft",2304 ,New
253,Amaze Constructions,Residential Plot,22.69,"1,111 / sq ft",2043 ,New
254,Amaze Constructions,Residential Plot,32.99,"1,111 / sq ft",2970 ,New
255,Amaze Constructions,Residential Plot,21.99,"1,111 / sq ft",1980 ,New
256,Amaze Constructions,Residential Plot,32.39,"1,111 / sq ft",2916 ,New
257,Amaze Constructions,Residential Plot,27.99,"1,111 / sq ft",2520 ,New
258,Amaze Constructions,Residential Plot,29.49,"1,111 / sq ft",2655 ,New
259,Amaze Constructions,Residential Plot,30.89,"1,111 / sq ft",2781 ,New
260,Amaze Constructions,Residential Plot,32.59,"1,111 / sq ft",2934 ,New
261,Amaze Constructions,Residential Plot,32.49,"1,111 / sq ft",2925 ,New
262,Amaze Constructions,Residential Plot,26.59,"1,111 / sq ft",2394 ,New
263,Living Landmarks Infratech,Residential Plot,35.01,389 / sq ft,9000 ,New
264,Living Landmarks Infratech,Residential Plot,35.01,389 / sq ft,9000 ,New
265,Living Landmarks Infratech,Residential Plot,35.01,389 / sq ft,9000 ,New
266,Living Landmarks Infratech,Residential Plot,17.5,389 / sq ft,4500 ,New
267,Living Landmarks Infratech,Residential Plot,17.5,389 / sq ft,4500 ,New
268,Asif,4 ,4,"11,428 / sq ft",3500 ,Ready to move
269,Asif,Residential Plot,8,"14,814 / sq ft",5400 ,Resale
270,Mahesh Plots,Residential Plot,1,"1,111 / sq ft",9000 ,New
271,Mahesh Plots,Residential Plot,1,"1,111 / sq ft",9000 ,New
272,Mahesh Plots,Residential Plot,1,"1,111 / sq ft",9000 ,New
273,Maxxco,4 ,2.5,"7,668 / sq ft",3260 ,Ready to move
274,Mahesh Plots,Residential Plot,5,"1,111 / sq ft",45000 ,New
275,Mahesh Plots,Residential Plot,2,"1,111 / sq ft",18000 ,New
276,Mahesh Plots,Residential Plot,2,"1,111 / sq ft",18000 ,New
277,Mahesh Plots,Residential Plot,2,"1,111 / sq ft",18000 ,New
278,Raja Reddy Noti,Residential Plot,57.75,"1,667 / sq ft",3465 ,New
279,Raja Reddy Noti,Residential Plot,56.86,"1,667 / sq ft",3411 ,New
280,Raja Reddy Noti,Residential Plot,61.81,"1,667 / sq ft",3708 ,New
281,Raja Reddy Noti,Residential Plot,29.1,"1,667 / sq ft",1746 ,New
282,Raja Reddy Noti,Residential Plot,20.4,"1,668 / sq ft",1224 ,New
283,Raja Reddy Noti,Residential Plot,48.61,"1,667 / sq ft",2916 ,New
284,Raja Reddy Noti,Residential Plot,40.35,"1,667 / sq ft",2421 ,New
285,Raja Reddy Noti,Residential Plot,51.6,"1,667 / sq ft",3096 ,New
286,Raja Reddy Noti,Residential Plot,41.7,"1,667 / sq ft",2502 ,New
287,Raja Reddy Noti,Residential Plot,52.96,"1,667 / sq ft",3177 ,New
288,Raja Reddy Noti,Residential Plot,49.2,"1,667 / sq ft",2952 ,New
289,Raja Reddy Noti,Residential Plot,54.75,"1,667 / sq ft",3285 ,New
290,Raja Reddy Noti,Residential Plot,1.38,"1,667 / sq ft",8334 ,New
291,Raja Reddy Noti,Residential Plot,42.45,"1,667 / sq ft",2547 ,New
292,Raja Reddy Noti,Residential Plot,69.61,"1,667 / sq ft",4176 ,New
293,Raja Reddy Noti,Residential Plot,27,"1,667 / sq ft",1620 ,New
294,Raja Reddy Noti,Residential Plot,23.4,"1,668 / sq ft",1404 ,New
295,Raja Reddy Noti,Residential Plot,76.51,"1,667 / sq ft",4590 ,New
296,Raja Reddy Noti,Residential Plot,28.35,"1,667 / sq ft",1701 ,New
297,Raja Reddy Noti,Residential Plot,27.9,"1,667 / sq ft",1674 ,New
298,Raja Reddy Noti,Residential Plot,34.5,"1,667 / sq ft",2070 ,New
299,Raja Reddy Noti,Residential Plot,46.05,"1,667 / sq ft",2763 ,New
300,Raja Reddy Noti,Residential Plot,1.08,"1,667 / sq ft",6516 ,New
301,Raja Reddy Noti,Residential Plot,40.95,"1,667 / sq ft",2457 ,New
302,Raja Reddy Noti,Residential Plot,75.16,"1,667 / sq ft",4509 ,New
303,Raja Reddy Noti,Residential Plot,2.07,"1,667 / sq ft",12429 ,New
304,Raja Reddy Noti,Residential Plot,90.16,"1,667 / sq ft",5409 ,New
305,Raja Reddy Noti,Residential Plot,62.86,"1,667 / sq ft",3771 ,New
306,Raja Reddy Noti,Residential Plot,53.69,"1,667 / sq ft",3221 ,New
307,Raja Reddy Noti,Residential Plot,64.36,"1,667 / sq ft",3861 ,New
308,Raja Reddy Noti,Residential Plot,34.11,"1,667 / sq ft",2047 ,New
309,Raja Reddy Noti,Residential Plot,28.8,"1,667 / sq ft",1728 ,New
310,Raja Reddy Noti,Residential Plot,60.01,"1,667 / sq ft",3600 ,New
311,Raja Reddy Noti,Residential Plot,53.85,"1,667 / sq ft",3231 ,New
312,Raja Reddy Noti,Residential Plot,28.2,"1,667 / sq ft",1692 ,New
313,Raja Reddy Noti,Residential Plot,73.66,"1,667 / sq ft",4419 ,New
314,Raja Reddy Noti,Residential Plot,28.05,"1,667 / sq ft",1683 ,New
315,Raja Reddy Noti,Residential Plot,59.71,"1,667 / sq ft",3582 ,New
316,Raja Reddy Noti,Residential Plot,39.6,"1,667 / sq ft",2376 ,New
317,Raja Reddy Noti,Residential Plot,36,"1,667 / sq ft",2160 ,New
318,Raja Reddy Noti,Residential Plot,49.5,"1,667 / sq ft",2970 ,New
319,Raja Reddy Noti,Residential Plot,38.55,"1,667 / sq ft",2313 ,New
320,Raja Reddy Noti,Residential Plot,42.15,"1,667 / sq ft",2529 ,New
321,Raja Reddy Noti,Residential Plot,33.3,"1,667 / sq ft",1998 ,New
322,Raja Reddy Noti,Residential Plot,80.86,"1,667 / sq ft",4851 ,New
323,Raja Reddy Noti,Residential Plot,59.26,"1,667 / sq ft",3555 ,New
324,Raja Reddy Noti,Residential Plot,31.2,"1,667 / sq ft",1872 ,New
325,Raja Reddy Noti,Residential Plot,70.21,"1,667 / sq ft",4212 ,New
326,Raja Reddy Noti,Residential Plot,46.65,"1,667 / sq ft",2799 ,New
327,Raja Reddy Noti,Residential Plot,47.85,"1,667 / sq ft",2871 ,New
328,Raja Reddy Noti,Residential Plot,28.65,"1,667 / sq ft",1719 ,New
329,Raja Reddy Noti,Residential Plot,1.95,"1,667 / sq ft",11727 ,New
330,Raja Reddy Noti,Residential Plot,67.21,"1,667 / sq ft",4032 ,New
331,Raja Reddy Noti,Residential Plot,28.5,"1,667 / sq ft",1710 ,New
332,Raja Reddy Noti,Residential Plot,44.55,"1,667 / sq ft",2673 ,New
333,Raja Reddy Noti,Residential Plot,50.7,"1,667 / sq ft",3042 ,New
334,Raja Reddy Noti,Residential Plot,43.05,"1,667 / sq ft",2583 ,New
335,Raja Reddy Noti,Residential Plot,59.41,"1,667 / sq ft",3564 ,New
336,Raja Reddy Noti,Residential Plot,27.75,"1,667 / sq ft",1665 ,New
337,Raja Reddy Noti,Residential Plot,35.25,"1,667 / sq ft",2115 ,New
338,Raja Reddy Noti,Residential Plot,1.23,"1,667 / sq ft",7434 ,New
339,Raja Reddy Noti,Residential Plot,52.79,"1,667 / sq ft",3167 ,New
340,Raja Reddy Noti,Residential Plot,32.4,"1,667 / sq ft",1944 ,New
341,Raja Reddy Noti,Residential Plot,29.4,"1,667 / sq ft",1764 ,New
342,Raja Reddy Noti,Residential Plot,85.66,"1,667 / sq ft",5139 ,New
343,Raja Reddy Noti,Residential Plot,79.66,"1,667 / sq ft",4779 ,New
344,Raja Reddy Noti,Residential Plot,61.82,"1,667 / sq ft",3709 ,New
345,Raja Reddy Noti,Residential Plot,40.05,"1,667 / sq ft",2403 ,New
